CUENTA,SEXO,CAMPUS,NIVEL,INDICE GENERAL,INDICE GRADUACION,CLASES APROBADAS,CLASES PLAN,CLASES MATRICULADAS,CLASES RET SD,NOMBRE MATERIA,ESTADO,FACULTAD/AREA,NombreCarrera
11911355  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,62.00,2,2,INTRODUCCIÓN A LA PSICOLOGÍA  ,SD,FCAS,Psicología
11911355  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,62.00,2,2,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCAS,Psicología
11411068  ,FEMENINO,UNITEC-TGU,PREGRADO,74.32,78.00,59.00,92.00,3,3,SALUD DE LA MUJER             ,RET,FCS,Medicina
11411068  ,FEMENINO,UNITEC-TGU,PREGRADO,74.32,78.00,59.00,92.00,3,3,SALUD INFANTIL                ,RET,FCS,Medicina
11411068  ,FEMENINO,UNITEC-TGU,PREGRADO,74.32,78.00,59.00,92.00,3,3,CIRUGÍA GENERAL I             ,RET,FCS,Medicina
11441056  ,FEMENINO,UNITEC-TGU,PREGRADO,70.53,72.00,62.00,92.00,3,3,SALUD DEL ADULTO I (A)        ,RET,FCS,Medicina
11441056  ,FEMENINO,UNITEC-TGU,PREGRADO,70.53,72.00,62.00,92.00,3,3,CIRUGÍA GENERAL II (A)        ,RET,FCS,Medicina
11441056  ,FEMENINO,UNITEC-TGU,PREGRADO,70.53,72.00,62.00,92.00,3,3,EPIDEMIOL SALUD COLECT I (A)  ,RET,FCS,Medicina
11611027  ,MASCULINO,UNITEC-TGU,PREGRADO,64.23,70.00,29.00,92.00,1,1,MICROBIOLOGÍA E INMUNOLOGÍA   ,RET,FCS,Medicina
11911057  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,92.00,4,4,HISTORIA DE HONDURAS          ,SD,FCS,Medicina
11911057  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,92.00,4,4,INTRODUCCIÓN AL ÁLGEBRA       ,SD,FCS,Medicina
11911057  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,92.00,4,4,ESPANOL                       ,SD,FCS,Medicina
11911057  ,FEMENINO,UNITEC-TGU,PREGRADO,0.00,0.00,0.00,92.00,4,4,QUÍMICA MÉDICA I              ,SD,FCS,Medicina
C21915140 ,FEMENINO,UNITEC-SPS,CFP,0.00,0.00,0.00,8.00,3,3,CONTA PARA PRO Y TRANS COMR   ,RET,CFP,CFP
C21915140 ,FEMENINO,UNITEC-SPS,CFP,0.00,0.00,0.00,8.00,3,3,CONCEPTOS Y PRIN CONTABLES    ,RET,CFP,CFP
